STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,1,425103,4251.03,6001425103,1425103,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,425104,4251.04,6001425104,1425104,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,426100,4261,6001426100,1426100,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,427100,4271,6001427100,1427100,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,427800,4278,6001427800,1427800,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,428302,4283.02,6001428302,1428302,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,430300,4303,6001430300,1430300,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,430700,4307,6001430700,1430700,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,431100,4311,6001431100,1431100,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,432501,4325.01,6001432501,1432501,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,433103,4331.03,6001433103,1433103,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,433300,4333,6001433300,1433300,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,433900,4339,6001433900,1433900,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,435300,4353,6001435300,1435300,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,435800,4358,6001435800,1435800,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,436300,4363,6001436300,1436300,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,437000,4370,6001437000,1437000,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
6,1,437400,4374,6001437400,1437400,Urban,Alameda County,"San Francisco-Oakland-Hayward, CA",1,1,1,Large central metro
