,glob,cold,heat,city,area,
94040,1.190136373,0.890064186,0.300072187,Mountain View,Bay,
90048,1.198467873,0.07804193,1.120425944,West Hollywood,Los Angeles,
92835,1.519784089,0.420252828,1.099531261,Fullerton,Orange County,
94010,1.662327492,0.973612786,0.688714705,Burlingame,Bay,
93940,1.682206303,0.159283895,1.522922408,Monterey,Monterey,
95231,1.806793563,0.086531457,1.720262106,,,
94080,1.808087243,1.120759862,0.687327381,,,
92123,1.80856484,0.594798169,1.213766671,,,
95817,1.861391546,0.059881335,1.801510211,,,
95630,2.116985543,0.452239413,1.66474613,,,
94611,2.152079738,0.058766869,2.093312869,,,
94015,2.172470032,1.139291522,1.03317851,,,
95337,2.187774581,0.667861795,1.519912786,,,
92505,2.196075688,0.240555531,1.955520157,,,
94115,2.282867739,1.338675419,0.94419232,,,
90503,2.300408524,-0.030554443,2.330962967,,,
91741,2.326114922,0.506493199,1.819621724,,,
92663,2.394887396,0.486302728,1.908584669,,,
94305,2.460544122,1.430142433,1.030401689,,,
94945,2.475351231,1.536661869,0.938689363,,,
94546,2.524125466,0.152809823,2.371315643,,,
94903,2.585766968,0.173464955,2.412302014,,,
94583,2.649443898,0.776312889,1.873131009,,,
91436,2.652026446,2.087171543,0.564854903,,,
95823,2.653759863,0.180427144,2.473332719,,,
92037,2.656965799,0.121233189,2.535732609,,,
91356,2.674797971,1.965266583,0.709531388,,,
91740,2.698857493,-0.007017485,2.705874978,,,
95405,2.708819064,0.316847089,2.391971974,,,
94596,2.711523637,0.12727576,2.584247877,,,
94598,2.712600878,2.12224063,0.590360248,,,
95616,2.718282755,0.168716886,2.549565868,,,
92653,2.768767935,1.018821056,1.749946879,,,
93306,2.779854817,0.396646882,2.383207935,,,
95403,2.824515352,0.640376972,2.184138381,,,
94117,2.849757938,1.639899926,1.209858013,,,
92870,2.850938586,1.075371626,1.77556696,,,
93105,2.875028104,0.431734977,2.443293127,,,
95501,2.890344827,2.490188746,0.40015608,,,
95051,2.948504306,0.171330269,2.777174037,,,
92056,2.960623967,0.488485323,2.472138644,,,
94063,2.992133973,-0.017371945,3.009505918,,,
92024,3.025327474,1.230395072,1.794932402,,,
94520,3.072634206,1.17453735,1.898096857,,,
94954,3.080764686,1.602992142,1.477772544,,,
95521,3.108568006,0.791970761,2.316597245,,,
90804,3.164630342,0.554246753,2.610383589,,,
90720,3.180626057,0.382864151,2.797761906,,,
94038,3.18168391,2.067405724,1.114278186,,,
90502,3.183076792,0.000922933,3.182153859,,,
94501,3.207648786,0.456040392,2.751608393,,,
92708,3.2866211,0.018581944,3.268039155,,,
90095,3.316628211,0.244114487,3.072513724,,,
94533,3.369754051,-0.017848796,3.387602847,,,
90404,3.375990209,0.687557612,2.688432597,,,
95119,3.385958891,-0.00638349,3.392342381,,,
90034,3.387427134,-0.031508965,3.418936099,,,
95340,3.392087733,0.249965925,3.142121807,,,
95540,3.402718962,0.73488987,2.667829091,,,
94705,3.409388558,1.310268907,2.099119652,,,
91403,3.441536059,0.162207673,3.279328386,,,
95376,3.451336068,0.289869157,3.16146691,,,
92103,3.47948777,0.109832577,3.369655193,,,
95404,3.480543977,0.372672921,3.107871056,,,
93065,3.493375067,1.104736993,2.388638074,,,
95642,3.529547887,0.566559746,2.962988141,,,
91208,3.535729045,0.42381629,3.111912755,,,
92354,3.54087413,0.046559169,3.494314961,,,
94538,3.608943206,0.424761463,3.184181743,,,
95531,3.642306777,0.378373785,3.263932993,,,
94403,3.667288299,0.84806283,2.819225469,,,
94578,3.721700609,0.257432308,3.464268301,,,
94062,3.750661638,0.743745113,3.006916525,,,
92064,3.765365321,2.343971619,1.421393702,,,
95203,3.825925724,0.981170252,2.844755472,,,
95819,3.845693877,0.311000426,3.534693451,,,
93111,3.852958619,0.093415932,3.759542687,,,
91007,3.872021321,0.096767346,3.775253975,,,
94109,3.890206476,0.543656098,3.346550378,,,
91402,3.935142473,0.020954447,3.914188026,,,
96001,3.949548487,0.403841397,3.54570709,,,
90732,3.970753689,0.444932906,3.525820783,,,
95825,3.999002403,3.602556753,0.396445651,,,
95476,4.039794429,-0.045092759,4.084887188,,,
93635,4.073374292,-0.010457939,4.083832231,,,
92373,4.077245679,0.331624834,3.745620845,,,
94133,4.130189754,2.78293015,1.347259604,,,
91206,4.140143813,0.407658473,3.73248534,,,
90710,4.167519253,0.942093274,3.225425979,,,
93405,4.178293807,0.145529896,4.032763911,,,
91360,4.207913275,-0.023744167,4.231657442,,,
95240,4.209967405,0.147297473,4.062669931,,,
93561,4.293953977,0.257384266,4.03656971,,,
93901,4.362528698,0.349535574,4.012993124,,,
92120,4.363121858,0.308239173,4.054882685,,,
95422,4.367243649,0.462427047,3.904816602,,,
90640,4.384718057,0.143984321,4.240733735,,,
92324,4.385737169,-0.007069983,4.392807152,,,
91325,4.401066014,0.071151314,4.3299147,,,
91505,4.407311062,0.230448122,4.176862939,,,
93720,4.410831817,0.932946849,3.477884969,,,
92647,4.531848924,0.033706784,4.49814214,,,
95355,4.532189843,-0.019515677,4.55170552,,,
91706,4.542621847,0.294777587,4.24784426,,,
91950,4.543321047,0.208927677,4.33439337,,,
95602,4.551167136,1.512776302,3.038390834,,,
93401,4.577421253,0.51097701,4.066444243,,,
92501,4.596818645,0.186641953,4.410176692,,,
93436,4.605024432,0.220415218,4.384609214,,,
93240,4.654100663,0.283500751,4.370599912,,,
91204,4.678312475,0.646902458,4.031410017,,,
93305,4.695513599,3.562453547,1.133060052,,,
92705,4.704703947,0.073496697,4.63120725,,,
91773,4.704814998,0.030430591,4.674384407,,,
90292,4.706960368,1.1685836,3.538376768,,,
93023,4.774862169,0.066909019,4.70795315,,,
94609,4.811850113,3.475569493,1.33628062,,,
92804,4.836578054,0.260787393,4.575790661,,,
91942,4.837283248,0.13757884,4.699704408,,,
94589,4.846304177,1.716095771,3.130208406,,,
92806,4.913617451,1.833215065,3.080402386,,,
95020,4.921672095,0.938723155,3.98294894,,,
96097,4.959326985,1.552953733,3.406373252,,,
95124,4.965387636,0.368928059,4.596459577,,,
92869,4.972264168,1.579830053,3.392434115,,,
91911,5.043250327,0.201464545,4.841785782,,,
94577,5.0470547,4.757603043,0.289451657,,,
90623,5.049937436,1.559030388,3.490907047,,,
92868,5.082419727,0.331744992,4.750674735,,,
95969,5.10282226,0.112345775,4.990476485,,,
93003,5.121124027,0.387347706,4.733776322,,,
95688,5.128906386,-0.073151974,5.20205836,,,
92262,5.225132901,-0.001456548,5.226589449,,,
95945,5.275479048,0.352355105,4.923123943,,,
91801,5.293440828,0.146387071,5.147053758,,,
92028,5.307714175,1.050990159,4.256724016,,,
92843,5.331914675,0.995463085,4.33645159,,,
95128,5.338721005,0.260958482,5.077762523,,,
95382,5.349102113,0.578616929,4.770485184,,,
91776,5.388943737,-0.05950087,5.448444607,,,
95065,5.410937643,-0.020676849,5.431614493,,,
90247,5.418842606,0.297448659,5.121393947,,,
95966,5.493189095,0.362226139,5.130962956,,,
93308,5.515725261,-0.046778955,5.562504216,,,
92801,5.602532755,0.239781026,5.362751728,,,
95370,5.60884062,0.989445324,4.619395296,,,
95453,5.630334129,1.147942841,4.482391288,,,
95667,5.658060204,0.237648523,5.420411681,,,
95661,5.734677431,0.136376491,5.59830094,,,
93230,5.760285082,0.002183861,5.758101221,,,
91307,5.786721465,0.389802633,5.396918833,,,
92805,5.805599017,1.094011804,4.711587213,,,
92270,5.810726316,5.519795158,0.290931158,,,
90027,5.812668858,-0.029380097,5.842048955,,,
90242,5.826967706,0.032551855,5.794415851,,,
92025,5.831034739,0.396497416,5.434537322,,,
95695,5.878855235,0.254674481,5.624180754,,,
95437,5.884230659,0.911270543,4.972960115,,,
95448,5.901613209,0.574324655,5.327288555,,,
92335,5.921946701,0.106557718,5.815388983,,,
90017,5.936812946,0.21185824,5.724954706,,,
93551,5.940820213,0.483029786,5.457790427,,,
93611,6.004771581,0.365880278,5.638891303,,,
90602,6.045694472,0.407961705,5.637732768,,,
95816,6.08154541,0.317203603,5.764341806,,,
90813,6.095198538,0.356289606,5.738908932,,,
95023,6.112415636,0.07205154,6.040364097,,,
95350,6.289654369,0.199267566,6.090386803,,,
92543,6.315360717,0.203751197,6.11160952,,,
94804,6.327494773,0.145849332,6.181645441,,,
92118,6.358180249,1.143946876,5.214233373,,,
91105,6.453943755,-0.025832007,6.479775762,,,
91367,6.473325598,0.097639267,6.375686332,,,
94531,6.499444824,0.245758467,6.253686357,,,
90262,6.566454226,0.279598227,6.286855998,,,
94588,6.630786119,0.165390454,6.465395665,,,
92585,6.641398536,0.074773763,6.566624773,,,
91754,6.659315068,0.39310479,6.266210278,,,
91786,6.740768232,0.28948942,6.451278812,,,
95116,6.782861794,-0.035061043,6.817922837,,,
92395,6.827469841,0.140298586,6.687171254,,,
92404,6.82768058,0.25298902,6.57469156,,,
95687,6.857656966,0.051520248,6.806136718,,,
95926,6.903221484,0.043872903,6.85934858,,,
96080,6.904722952,0.088093358,6.816629594,,,
94553,6.906900735,-0.02844044,6.935341175,,,
90018,6.953635453,0.883165771,6.070469682,,,
95338,6.989530385,0.265789281,6.723741104,,,
96101,7.025840399,1.605500641,5.420339758,,,
94558,7.043045875,0.302430429,6.740615446,,,
93454,7.120774704,-0.005308786,7.12608349,,,
96104,7.127215991,0.23254851,6.894667481,,,
95361,7.143909241,-0.036232122,7.180141363,,,
95472,7.177407353,0.163232431,7.014174921,,,
91763,7.224487788,0.191425312,7.033062475,,,
92673,7.248734871,0.614234991,6.63449988,,,
91345,7.276659022,0.195171504,7.081487518,,,
95076,7.279929643,0.33902346,6.940906183,,,
92691,7.306736315,-0.00872394,7.315460255,,,
95249,7.340152768,0.206113581,7.134039187,,,
95608,7.514858456,0.305406438,7.209452018,,,
91355,7.665587324,0.226674042,7.438913283,,,
90716,7.672272425,0.028612412,7.643660012,,,
90650,7.703942203,0.106791539,7.597150664,,,
90015,7.720174527,0.425504477,7.29467005,,,
90712,7.930373438,0.231345295,7.699028143,,,
93301,7.930971051,0.069666465,7.861304586,,,
93721,8.079135902,-0.005008204,8.084144106,,,
94509,8.093511732,0.50420916,7.589302572,,,
93906,8.178060277,0.126204432,8.051855845,,,
93274,8.196142954,0.233352929,7.962790025,,,
92352,8.199798091,2.487153669,5.712644421,,,
92307,8.310329804,-0.04810846,8.358438264,,,
90255,8.337629848,-0.078091698,8.415721546,,,
92411,8.392161971,0.327413972,8.064747999,,,
92243,8.496138031,0.029907143,8.466230889,,,
95482,8.515624038,0.168303215,8.347320823,,,
94904,8.517102665,0.290311783,8.226790882,,,
90806,8.609669224,0.003364751,8.606304473,,,
91710,8.626704597,-0.019614586,8.646319183,,,
90019,8.730852423,6.949098047,1.781754376,,,
90057,8.760378616,0.365541139,8.394837477,,,
93702,8.770460238,6.601612756,2.168847482,,,
96028,8.794988103,0.689243203,8.1057449,,,
90033,8.858074654,-0.023947967,8.882022621,,,
96067,8.878269316,0.358843113,8.519426203,,,
92562,8.907822444,0.119642731,8.788179713,,,
93010,8.923302405,0.128757947,8.794544458,,,
95336,8.929823581,0.002678308,8.927145273,,,
90605,9.109245238,0.300049684,8.809195553,,,
95948,9.110440504,-0.032183342,9.142623846,,,
90232,9.113199022,4.753771057,4.359427966,,,
93555,9.142022598,0.12702549,9.014997108,,,
95988,9.150469547,2.789019043,6.361450504,,,
90023,9.236892085,0.187244537,9.049647548,,,
90706,9.251343185,1.24457049,8.006772695,,,
93291,9.284859611,0.01650999,9.268349622,,,
93210,9.287083053,0.19667829,9.090404762,,,
94806,9.337570601,0.184156935,9.153413666,,,
94110,9.452615114,-0.008411085,9.461026199,,,
93638,9.477446494,0.162375949,9.315070544,,,
92220,9.47970615,0.393336007,9.086370142,,,
96122,9.531751289,0.853006416,8.678744873,,,
91352,9.570430989,0.054507556,9.515923432,,,
95490,9.762439372,0.179561302,9.58287807,,,
95901,9.921082273,-0.027383517,9.94846579,,,
96093,9.932490268,0.279970382,9.652519886,,,
92311,10.12242454,0.032253571,10.09017097,,,
92227,10.195239,-0.053888899,10.2491279,,,
92201,10.21002524,-0.009141808,10.21916705,,,
95971,10.23991857,0.216383772,10.0235348,,,
91910,10.26935764,0.12567985,10.14367779,,,
90505,10.34002448,0.300720915,10.03930357,,,
93654,10.46225516,0.013125532,10.44912963,,,
92555,10.54654159,0.02662659,10.519915,,,
